,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,health_amenity_type,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type,part_time_beds,tag,index_right,GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,geometry,str_geometry
286,4874275722,node,12.0,,pharmacy,,,,,72709032.0,,,,00bfde05a81f497b9d87bbb55c3506ac,,,,,,,2.0,,2019-07-27T06:07:20,,,,Watsons,,jenjereren,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0821288881579 14.67800775473336),
300,3638341021,node,21.0,,pharmacy,,Banawe Street,Michael Beltran,,88807174.0,,,,e8c80054ebc149eaa5d41934a43ec083,,,,,,,4.0,,2020-08-01T05:58:55,662,,Quezon City,Farmacia ni Dok,,TagaSanPedroAko,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0017078799693 14.63333866488398),
302,597000047,node,9.0,,hospital,,,,,3411279.0,,,,a672576e053f47f0adf0542daf21e8e4,,,,,,,1.0,,2009-12-20T03:53:10,,,,Ann Francis Maternity Hospital,,BlueArrow,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0312570223221 14.69437107374674),
366,3299171853,node,18.0,,pharmacy,,Aurora Boulevard,,,89798218.0,,,,522c1cfdad89468e810c5fe44398a4f3,,,,,,,3.0,,2020-08-23T05:44:50,,,Quezon City,TGP,,TagaSanPedroAko,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0535053593727 14.62296924482996),
374,7328582987,node,18.0,,,,Capitol Hills Drive,,,91934621.0,,,+63 2 8951 3333,fc91d42b06fa4c3b8cb994f82c8b988b,,Mo-Su 06:00-22:00,,,,,2.0,,2020-10-04T14:12:35,,,,Celebrity Sports Health Center,,ianlopez1115,,,,,clinic,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0801936743532 14.66646302421634),
406,4611787991,node,9.0,,clinic,,,,,45214681.0,,,,7b56509d7bf44bb18d80435e86da164d,,,,,,,1.0,,2017-01-16T12:37:37,,,,Bernardino receiving,,Kingcute,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0406368748874 14.69966977765691),
434,255066475,node,18.0,,pharmacy,,,,,86331991.0,,,,fe1fba45803c4e32bcb09e468ba45aad,,,,GPS,,,9.0,,2020-06-08T05:58:34,,1100,Quezon City,Mercury Drug,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0195259620975 14.65815404360043),
443,4377351824,node,12.0,,pharmacy,,,,,63294186.0,,,,6a9a8b938e504f018da6eb0675069249,,,,,,,2.0,,2018-10-08T03:04:55,,,,TGP,,GOwin,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0629779996061 14.62079196166158),
490,7123786085,node,18.0,,,blood_check,,Delos Santos Medical Center,,79522325.0,,,+632 7228788,29dd37c6ac4f4058a09932e22bc98407,,,,,,,2.0,,2020-01-13T15:33:35,,,,,,GrabPHMikko,,,,,laboratory,private,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0177985356725 14.62026926617969),
493,4221132590,node,12.0,,dentist,,Padre Burgos,,,83560740.0,,,,d5b5de29d89b4589a674aec6ea4f6f0c,,,,,,,2.0,,2020-04-15T03:41:10,,,,Doc Cobico-Valones Dental Clinic,,GOwin,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0712124651028 14.62903422232824),
501,5197661975,node,34.0,,clinic,,Ermin Garcia,Klinika Bernardo,,86444326.0,,,+639560741884,44b57cf26bb14cec86b53ca7893c042f,,Mo-Fr 15:00-23:00,,,,,4.0,,2020-06-10T07:06:38,,1111,Quezon City,P. Bernardo Health Center and Social Hygiene Clinic,,jmres,,,,,clinic,government,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0466698335156 14.62795924324624),
512,7735520987,node,9.0,,clinic,,,,,88319802.0,,,,1455607ea251410db53759f8e4e16044,,,,,,,1.0,,2020-07-22T03:35:23,,,,Kalayaan Health Center,,Serkenburg,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0176778362668 14.61553877148566),
536,1203902765,node,15.0,,pharmacy,,Quezon Avenue,,,58636938.0,,,,ed8671a102654f2387275c3b7ecf1a35,,Mo-Su 07:00-22:00,,,,,4.0,,2018-05-03T06:39:45,,,,Mercury Drug,,GOwin,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0178614837653 14.6315767888369),
567,4424272892,node,9.0,,dentist,,,,,42530342.0,,,,bf445599a5354112baec7f1cbaea17ac,,,,,,,1.0,,2016-09-29T22:06:18,,,,Tooth Health Dental Clinic,,Arcee Franco,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0623494406871 14.72014936549979),
591,1075204783,node,15.0,,pharmacy,,Roosevelt Avenue,,,86331991.0,,,,2dea2bdc32754198ac6d49418dc35784,,,,,,,5.0,,2020-06-08T05:58:49,,,,TGP,,mipangan,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0194418916087 14.65663884696377),
679,340863688,node,15.0,,pharmacy,,,,,84103149.0,,,,c9becbd71f354e1d9a173034cf8f404b,,,,nandyg,,,6.0,,2020-04-25T12:22:25,,,,hbc ShopMore,,dstansby,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0708829724891 14.61173397417809),
727,760167523,node,9.0,,pharmacy,,,,,7283553.0,,,,94a12a49fc354083bb21e7a1ad2b9a68,,,,,,,4.0,,2011-02-14T08:14:58,,,,Mercury Drug,,legonz,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0470232983724 14.63763028312783),
739,664528058,node,15.0,,pharmacy,,Broadway Avenue,,,95123899.0,,,,808050599486491ab534f6b46f13449f,,,,,,,3.0,,2020-12-02T02:35:11,,,,Watsons,,GOwin,,,,,pharmacy,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0325027407717 14.61214259195782),
741,2854288012,node,12.0,,pharmacy,,Matalino Street,,,67981499.0,,,,0988ec6dc02541318c531bbaac53dd7c,,,,,,,3.0,,2019-03-10T08:24:57,,,,CVS Drugstore,,GOwin,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.049428234031 14.64454485033178),
770,4364952591,node,9.0,,hospital,,,,,70680458.0,,,,c8c91b66a45743ac8ab07a2ddc7c825b,,,,,,,2.0,,2019-05-28T03:44:13,,,,Best Diagnostic Corp,,paduhh,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0520407894311 14.64470025081664),
806,4218420489,node,18.0,,clinic,,20th Avenue,,,84119181.0,,,,79ead9dfdd7742658e399602b10c0068,,,,,,,2.0,,2020-04-25T19:30:48,62,,,F.A.S.T Lab cubao,,WillTrojniak,,,,,clinic,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0648674482195 14.61724557842888),
863,255051892,node,18.0,,pharmacy,,,,,86331991.0,,,,55a8ceb43790441fac6b319333af3d11,,,,jklinc,,,6.0,,2020-06-08T05:58:34,,1100,Quezon City,Sgm Drugstore,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.022218732311 14.64457142096487),
921,3103223927,node,12.0,,,,Anonas,,,85054703.0,,,,82ad0c77aabb434d80d4b1765b6f246b,,,,,,,2.0,,2020-05-12T03:21:40,,,,SIMS Medical Clinic and Laboratory,,GOwin,,,,,laboratory,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0596430917905 14.63307287473432),
941,4884774121,node,15.0,,hospital,,Visayas Avenue,,,86332372.0,,,,c9fb2fc7dfd445ce8d2e54c555fdfb16,,,,,,,3.0,,2020-06-08T06:05:18,,1100,,St. Therese Dialysis and Laboratory Clinic,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0454052557838 14.65830315765788),
958,7487837559,node,12.0,,pharmacy,,Blumentritt Road,,,84726882.0,,,,131bed039d1c4d3f933c25426618a867,,,,,,,1.0,,2020-05-06T03:40:27,,,,Silver Drug,,GOwin,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (120.9871664514297 14.62522246804104),
959,7325444257,node,15.0,,dentist,,,SJS Dental Suite,,82571299.0,,,,146246025ca04054884c941fb5980eea,,,,,,,1.0,,2020-03-24T12:48:53,,,,SJS Dental Suite,,Cdfeliciano,,,,,dentist,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0529377368897 14.65430976752893),
960,7128758685,node,12.0,,clinic,,,,,79522325.0,,,,5a500bdaabc3410d91b7228f8f9e3c3b,,,,,,,1.0,,2020-01-13T15:42:51,,,,"St. Magdalene Diagnostic Clinic, Inc.",,GrabPHMikko,,,,,clinic,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0627125447326 14.62093244235879),
975,4574896893,node,9.0,,pharmacy,,,,,83964549.0,,,,de401b542b1747acba668ab8c32bb1aa,,,,,,,2.0,,2020-04-22T22:52:04,,,,K5 prohealth,,DMcDowall,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0366719832293 14.62612226534674),
1004,4574914791,node,9.0,,pharmacy,,,,,57097257.0,,,,01ba59fdbb85481bb8f23b80dfd637b4,,,,,,,2.0,,2018-03-12T02:17:03,,,,K2 Drug Store,,GOwin,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0714711306347 14.62295239720456),
1048,1137564601,node,9.0,,pharmacy,,,,,89007145.0,,,,67fb9b4707544b65b74a53346bea32ba,,,,,,,7.0,,2020-08-06T02:30:42,,,,Roosevelt Drug,,TagaSanPedroAko,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.018742757065 14.65560745377826),
1068,4224562498,node,15.0,,pharmacy,,Susano Road,,,84543121.0,,,,da9d5b18ad594fb59488a1ce7b38f0e6,,Mo-Su 06:00-22:00,,,,,2.0,,2020-05-03T01:44:41,,,,Mercury Drug Novaliches - Susano,,Kathyaus,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0392776654688 14.72348184256353),
1101,6266143986,node,9.0,,dentist,,,,,67028297.0,,,,078114271ab9454cbc472e18b58bd4a0,,,,,,,1.0,,2019-02-08T15:14:41,,,,Bachiller Dental Clinic,,JulesGreg,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0885765833551 14.69676704076889),
1107,923744105,node,9.0,,pharmacy,,,,,5859019.0,,,,e7abc5df04a747b9be663f1c15ee5ff8,,,,,,,1.0,,2010-09-24T01:06:34,,,,Herbal Pharmacy,,CJ Bucsit,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0739019663741 14.66491832328049),
1120,3229346753,node,9.0,,hospital,,,,,68398753.0,,,,2ef4b2ed072f4df59bf979e4e51d381e,,,,,,,6.0,,2019-03-22T06:36:48,,,,Horseshoe Pet Clinic,,jmres,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0733301529396 14.63902125995949),
1142,7723516985,node,9.0,,dentist,,,,,88129809.0,,,,54164ad8000c4c189eaa05993fb3a9ff,,,,,,,1.0,,2020-07-17T08:15:13,,,,Smilemakers,,Serkenburg,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0351018851268 14.66882303287389),
1168,255067401,node,18.0,,hospital,,,,,93870248.0,,,,dd329de38c2e4dc7867796bbd14116e9,,,,jklinc,,,8.0,yes,2020-11-10T15:15:19,,,,Capitol Medical Center,,wille,,,,,hospital,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0226694272447 14.63434122432255),
1171,7165547870,node,9.0,,,,,,,80176413.0,,,,63eb329b11fd4b138d5208898a36e477,,,,,,,1.0,,2020-01-28T06:31:52,,,,SafeBirth,,ATIKINYANS,,,,,birthing_center,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0160601289543 14.62800324823789),
1242,7409673786,node,6.0,,pharmacy,,,,,83733795.0,,,,b5a6addfe30b422e9881a93f6cfc630f,,,,,,,2.0,,2020-04-18T07:24:18,,,,,,GrabPHMikko,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.069292925457 14.70695658518082),
1254,7324517886,node,9.0,,pharmacy,,,,,82550609.0,,,,f3cc8fa3653a4b77887d9ed37eec4e36,,,,,,,1.0,,2020-03-24T04:50:35,,,,South Star Drug,,mapbeks,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0323421435069 14.67660437268501),
1286,591574781,node,9.0,,dentist,,,,,12630728.0,,,,9d84f04a2cee4d0cb99baccbc5e467a0,,,,,,,2.0,,2012-08-06T09:35:25,,,,My Doc Cares Dental Clinic,,ianlopez1115,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0369737317435 14.70385804703466),
1308,7039937885,node,18.0,,,blood_check,,Hi-Precision Diagnostics,,78963618.0,,,+63 933 819 3799;+63 917 656 6623;+63 2 3433 8637;+63 2 3436 8682,256dbe349d8748c382c47e56b50678b0,,,,,,,4.0,,2019-12-28T21:05:11,,,,,,GrabPHMikko,,,,,laboratory,private,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0500293841266 14.6372617308453),
1315,593999445,node,15.0,,pharmacy,,,Mercury Drug,,86433503.0,,,,eaef5b4aa6874a1d9e444ba7402947dd,,,,Benta Serbisyo,,,7.0,,2020-06-10T03:22:51,,,,Mercury Drug,,mipangan,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.030232167021 14.65475895372001),
1352,1152823027,node,9.0,,pharmacy,,,,,37735684.0,,,,625896722a934644ad3738d50b08ec34,,,,,,,2.0,,2016-03-10T14:45:09,,,,Manson Drug,,J08,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0506465436573 14.62001479159935),
1370,4224574293,node,9.0,,pharmacy,,,,,39789669.0,,,,ad54f6c1fc40466086b67d3a1dfb1264,,,,,,,1.0,,2016-06-03T23:41:07,,,,Mercury Drug Novaliches Plaza,,Ajie Ramos,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.040036060068 14.72162189824931),
1400,3198699139,node,9.0,,clinic,,,,,26930510.0,,,,2d41497af2644c6580f9b6513ecc103d,,,,,,,1.0,,2014-11-21T15:03:22,,,,Satellite Lab,,Rally,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0481134486992 14.64349677715899),
1427,6263914385,node,9.0,,pharmacy,,,,,66996218.0,,,,67139bafb90d473dabbec3fa3409d570,,,,,,,1.0,,2019-02-07T14:16:46,,,,Phytos Pharmacy,,JulesGreg,,,,,,,,,973.0,PHL,Philippines,PHL.47_1,Metropolitan Manila,,PHL.47.14_1,Quezon City,,,Lungsod|Siyudad,City,137404,PH.MM.QE,POINT (121.0881429875039 14.69986038213509),
